item_name,brands,label
Bottle Canada Dry Ginger Ale 20oz,canada dry,2
Bottle Pepsi 20 oz,pepsi,1
Bottle Pepsi Wild Cherry 20oz,pepsi,1
Soda Mountain Dew 20oz Bottle,pepsi,1
BVC- Bottle Pepsi Brand 20 oz.,pepsi,1
Pepsi Products 20 oz,pepsi,1
Can Coke Diet 12oz,coke,0
BVC - Coke Products 2 for $2.50,coke,0
BVC- Soda 20 oz Coke Zero,coke,0
Bottle Pepsi Diet 20oz,pepsi,1
Pepsi 20oz,pepsi,1
BVC - Pepsi Diet 20oz,pepsi,1
20 oz Pepsi,pepsi,1
Bottle Coke Cherry 20oz,coke,0
BVC - coke reg bottled,coke,0
BVC-Pepsi 20oz,pepsi,1
Bottle Coke Zero Cherry 20oz,coke,0
Bottle Coke Classic 20oz,coke,0
BVC - Bottle Coke Diet 20oz,coke,0
Bottle Coke Vanilla 20oz,coke,0
BVC - Bottle Canada Dry Ginger Ale 20oz,canada dry,2
BVC - Bottle Pepsi Wild Cherry 20oz,pepsi,1
BVC- Soda 20 oz Mountain Dew,pepsi,1
Bottle Coke Diet Caffeine Free 20oz,coke,0
Coke Promo 2.50,coke,0
Soda Pepsi 20oz Bottle,pepsi,1
12oz. COCA COLA,coke,0
Pepsi Zero Wild Cherry 20oz,pepsi,1
Bottle Pepsi Max 20oz,pepsi,1
BVC - Bottle Coke Classic 20oz,coke,0
Soda Pepsi Diet Wild Che,pepsi,1
Can Coke Classic 12oz,coke,0
Pepsi Fountain Beverage 12oz,pepsi,1
BVC- Soda 20 oz Mountain Dew Diet,pepsi,1
Bottle Canada Dry Ginger,canada dry,2
Soda Diet Coke 20oz Bottle,coke,0
BVC - Bottle Mountain Dew Code Red 20oz,pepsi,1
Can Coke Diet 12oz,coke,0
Soda Cherry Coke 20oz Bottle,coke,0
Soda Coke Classic 20oz Bottle,coke,0
Soda Coke Zero Cherry 20oz Bottl,coke,0
Mountain Dew Major Melon 20oz,pepsi,1
Diet Coke,coke,0
Diet Coke,coke,0
BVC - Bottle Coke Diet 2,coke,0
Can Coke Diet 12oz,coke,0
Soda Mountain Dew Diet 20oz Bottle,pepsi,1
Coke Cherry Vanilla 20oz,coke,0
Bottle Coke Vanilla 20oz,coke,0
BVC - Bottle Coke Zero 20oz,coke,0
Pepsi,pepsi,1
Coke,coke,0
BVC - pepsi reg bottled,pepsi,1
BVC - Coke_Original (20 oz Bottle),coke,0
BVC - Bottle Coke Diet 20 oz,coke,0
Coke Zero,coke,0
Can Coke Classic 12oz,coke,0
Bottle Mountain Dew 20oz,pepsi,1
Pepsi Fountain Beverage 32oz,pepsi,1
BVC - Bottle Coke Zero 2,coke,0
Pepsi-2 for 2.79,pepsi,1
BVC-Bottle Coke Classic 20oz,coke,0
Bottle Coke Diet 20oz,coke,0
BVC- Soda 20 oz Pepsi Diet,pepsi,1
Bottle Mountain Dew Code Red 20oz,pepsi,1
BVC - Bottle Pepsi Max 20oz,pepsi,1
BVC - Bottle Coke Zero 20 oz,coke,0
Soda Diet Pepsi Can 12oz,pepsi,1
Coca Cola Life 20fl oz,coke,0
Soda Coke Zero 20oz Bottle,coke,0
BVC-Bottle Coke Diet 20oz,coke,0
20 OZ coke/pepsi,coke,0
Bottle Pepsi 20oz,pepsi,1
BVC - Bottle Mountain Dew Diet 2,pepsi,1
Can Coke Diet 12oz,coke,0
Coke Fountain 24 oz Cup,coke,0
BVC- Soda 20 oz Pepsi Regular,pepsi,1
Bottle Mountain Dew Voltage 20oz,pepsi,1
Coke Zero Bottle 20 OZ,coke,0
BVC - Coke Reg 20z,coke,0
BVC-Bottle Pepsi 20oz,pepsi,1
Pepsi Fountain Beverage 22oz,pepsi,1
BVC - Mountain Dew 20z,pepsi,1
Coke 20oz,coke,0
BVC - Bottle Mountain Dew Voltage 20oz,pepsi,1
Coke/pepsi,coke,0
Pepsi 12oz Can,pepsi,1
Soda Diet Coke 16oz Can,coke,0
2 for 2.79 COKE,coke,0
Coke Diet 20oz,coke,0
Can Coke Classic 12oz,coke,0
BVC - Diet Coke_Original (20 oz Bottle),coke,0
BVC - Bottle Mountain Dew 20oz,pepsi,1
BVC- Soda 20 oz Coke Zero Cherry,coke,0
BVC  -Bottle Coke Zero 20oz,coke,0
Mountain Dew Zero Sugar ,pepsi,1
Mountain Dew Diet 20oz,pepsi,1
BBC- Coke Flavors 20z,coke,0
Bottle Coke Zero 20oz,coke,0
Bottle Mountain Dew Diet 20oz,pepsi,1
Diet Coke 20oz,coke,0
Pepsi Fountain Beverage 16oz,pepsi,1
BVC - Bottle Coke Vanilla 20oz,coke,0
Diet Coke 20 oz,coke,0
BVC - Bottle Canada Dry ,canada dry,2
Bottle Mountain Dew Code Red 20o,pepsi,1
Coca Cola12oz,coke,0
BVC - Pepsi,pepsi,1
Soda Pepsi Diet 20oz Bot,pepsi,1
Bottle Canada Dry Ginger Ale 20oz,canada dry,2
Coke Bottled 20oz,coke,0
Bottle Pepsi Wild Cherry 20oz,pepsi,1
Bottle Mountain Dew Voltage 20oz,pepsi,1
BVC - Coke Diet,coke,0
Mtn Dew,pepsi,1
Mountain Dew Major Melon Zero 20oz,pepsi,1
Can Coke Classic 12oz,coke,0
Bottle Mountain Dew Code,pepsi,1
Diet Pepsi 20 oz.,pepsi,1
BVC - Bottle Pepsi 20oz,pepsi,1
Pepsi 20oz,pepsi,1
Bottle Mountain Dew Volt,pepsi,1
Coke 20oz,coke,0
Diet Coke 20oz,coke,0
Bottle Pepsi Diet Wild Cherry 20oz,pepsi,1
Bottle Pepsi Max 20oz,pepsi,1
BVC - Bottle Coke Zero C,coke,0
BVC - Can Coke Classic 12oz,coke,0
Coke Zero,coke,0
BVC - Bottle Mountain Dew Diet 20 oz,pepsi,1
Can Mountain Dew 12oz,pepsi,1
Bottle Coke Classic 12oz,coke,0
Bottle Diet Pepsi 20oz,pepsi,1
Coca Cola,coke,0
BVC-Bottle Coke,coke,0
Can Coke Zero 12oz,coke,0
Coca-cola Zero Sugar Cherry Vanilla 20oz,coke,0
Bottle Coke Classic 12oz,coke,0
BVR - Mountain Dew 20oz,pepsi,1
Pepsi 20oz,pepsi,1
Soda Diet Pepsi 20oz Bottle,pepsi,1
Coca Cola 12oz,coke,0
Bottle Canada Dry Ginger Ale 20o,canada dry,2
BVC - Coke 20oz,coke,0
BVC- Soda 20 oz Pepsi Max Zero,pepsi,1
BVC - Coke Zero_Original (20 oz Bottle),coke,0
Asst. Can Coke - Cafe,coke,0
Diet Pepsi,pepsi,1
Soda Coca Cola 20 oz Bot,coke,0
Bev 20 oz Coke Classic,coke,0
Coke Can 12oz,coke,0
BVR - Coke Classic 20oz,coke,0
Can Coke Zero 12oz,coke,0
Pepsi 12oz Can,pepsi,1
2 4 2 Coke,coke,0
Coke Classic,coke,0
Soda Diet Pepsi 20oz Bottle,pepsi,1
BVC - Coke Zero,coke,0
BVC- Soda 20 oz Canada Dry Ginger Ale,canada dry,2
Bottle Canada Dry Ginger Ale Diet 20oz,canada dry,2
Diet Pepsi 12oz,pepsi,1
Assorted Coke,coke,0
Coca-Cola 20oz Variety,coke,0
BVC-Bottle Mountain Dew Diet 20oz,pepsi,1
BVC - Bottle Coke Cherry,coke,0
2 for $2 Coke or Pepsi Products,coke,0
BVC- Soda 20 oz Coke Cherry,coke,0
M NSM  | Coca Cola | Diet BTL 20 F,coke,0
BVR - Coke Diet 20oz,coke,0
Pepsi 2 for 2.50,pepsi,1
Diet Pepsi,pepsi,1
Pepsi Fountain Beverage 24oz,pepsi,1
Pepsi 20oz,pepsi,1
Coke Diet 20oz,coke,0
Pepsi 2 for 2.00.,pepsi,1
BVC-Bottle Mountain Dew 20oz,pepsi,1
Diet Coke,coke,0
Soda Cherry Coke 20oz Bottle,coke,0
diet pepsi,pepsi,1
BVC-Bottle Coke Cherry 20oz,coke,0
BVC Bottle Coke Diet 20z,coke,0
Pepsi Products 2 for $2,pepsi,1
Bottle Coke Diet Caffein,coke,0
Coke Promo,coke,0
BVC - Bottle Coke Diet Caffeine Free 20oz,coke,0
BVR - Mountain Dew Diet 20oz,pepsi,1
Coke Diet 20oz,coke,0
Can Mountain Dew 12oz,pepsi,1
RT-Soda Coke Classic 20oz Bottle,coke,0
BVC - Coke Products 3 for $4,coke,0
M NSM | COCA COLA | ORIGINAL  BTL 20 F,coke,0
BVC - Coke Products 2 for $3,coke,0
Can Coke Zero 12oz,coke,0
BVC - Mountain Dew Diet 20,pepsi,1
BVC Bottle Coke 20oz,coke,0
Bottle Coke Orange Vanilla 20oz,coke,0
Can Pepsi Diet 12oz,pepsi,1
PLK -  Bottle Coke,coke,0
Pepsi 12oz,pepsi,1
BVR - Pepsi 20oz,pepsi,1
BVC - Bottle Coke Zero Cherry 20 oz,coke,0
BVC - Bottle Mountain Dew Major Melon 20oz,pepsi,1
Can Coke Zero 12oz,coke,0
BVC Bottle Mountain Dew 20z,pepsi,1
BVC Bottle Coke Classic 20z,coke,0
.99 canned  pepsi,pepsi,1
Can Mountain Dew Diet 12oz,pepsi,1
BVR - Coke Zero 20oz,coke,0
Bottle Diet Coke 20oz Bottle,coke,0
Bottle Mountain Dew Voltage 20oz,pepsi,1
Bottle Pepsi Diet 20oz,pepsi,1
Pepsi 2 for 2,pepsi,1
BVC - Bottle Coke Zero Cherry 20,coke,0
0.99 Add Pepsi,pepsi,1
Can Coke Cherry 12 oz,coke,0
2 for 2.79 Coke,coke,0
Bottle Coke Vanilla 20oz,coke,0
Diet Coke Caffeine Free 12oz,coke,0
BVC Mountain Dew 20oz,pepsi,1
Mountain Dew,pepsi,1
M NSM  | Coca Cola | Zero BTL 20 F,coke,0
Coca Cola Energy Coke 12,coke,0
BBC- Bottle Mountain Dew Flavors 20z,pepsi,1
RT-Soda Mountain Dew 20oz Bottle,pepsi,1
BVC- Bottle Water Canada Dry 20z,canada dry,2
Bottle Coke Diet w/Lime 20oz,coke,0
Mountain Dew Baja Blast 20oz,pepsi,1
Pepsi,pepsi,1
BVR - Pepsi Diet 20oz,pepsi,1
Soda Cherry Vanilla Coke,coke,0
Can Diet Coke 7.5oz,coke,0
Can Mountain Dew KickSta,pepsi,1
Mtn Dew Rise Tropical Su,pepsi,1
Soda Mountain Dew Game F,pepsi,1
Soda Coke Sprite 16oz Ca,coke,0
Bottle Coke 20oz,coke,0
Pepsi 20z 2-$3.00,pepsi,1
Soda Coke Zero Cherry 20oz Bottle,coke,0
Pepsi     12oz Can,pepsi,1
Mtn Dew Rise Pomegranate,pepsi,1
Pepsi 2 for 2.22,pepsi,1
2 for 2.79 Pepsi,pepsi,1
Mountain Dew Zero  20oz,pepsi,1
Mtn Dew,pepsi,1
Pepsi Vanilla 20oz,pepsi,1
20 oz PEPSI,pepsi,1
Coca-Cola w/Coffee Vanilla 12oz,coke,0
BVC - Bottle Pepsi Zero,pepsi,1
BVC - Bottle Canada Dry Ginger Ale Diet 20oz,canada dry,2
Mtn Dew Rise Strawberry ,pepsi,1
BVC- Coke Bottle 12 oz,coke,0
COKE PROMO,coke,0
BVC - Can Coke Zero 12oz,coke,0
Bottled Coke 20oz,coke,0
Mountain Dew Can,pepsi,1
BVC Bottle Mountain Dew Diet 20z,pepsi,1
BVC- 2 for 2.00 coke products,coke,0
BVC - Can Mountain Dew 12oz,pepsi,1
Diet Coke 20 oz,coke,0
Coke Can 16oz,coke,0
Mountain Dew,pepsi,1
Coca Cola 20 Oz. Btl,coke,0
Bottle Coke Black Cherry Vanilla 20oz,coke,0
BVC Bottle Pepsi 20z,pepsi,1
Bev - Mountain Dew,pepsi,1
Soda Coke Coca Cola Zero,coke,0
Bottle Pepsi Diet w/Lemon 20oz,pepsi,1
Coke20oz,coke,0
Pepsi Zero Sugar,pepsi,1
Mtn Dew 20oz,pepsi,1
BVC COCA COLA 16 OZ.,coke,0
BVC - Coke Products 2 for $2.99,coke,0
Dt Pepsi 20oz,pepsi,1
BVC - Coke Products 2 for $2.79,coke,0
Pepsi 12oz Can,pepsi,1
Pepsi Can,pepsi,1
Coca-Cola,coke,0
Coke Zero 20oz,coke,0
RT-Soda Coke Zero 20oz Bottle,coke,0
2 for 2.79 PEPSI,pepsi,1
Coca Cola 20oz,coke,0
BVC - Bottle Coke Cherry 20oz,coke,0
Pepsi Diet 12 oz,pepsi,1
BVC - Coke Cherry,coke,0
SODA MOUNTAIN DEW 20 OZ,pepsi,1
BBC- Bottle Pepsi Brand 20z,pepsi,1
Coke ZeroSugar,coke,0
Mtn Dew Rise Peach Mango,pepsi,1
Coca-Cola w/Coffee Dark 12oz,coke,0
Coke Diet,coke,0
BVC - Bottle Canada Dry Ginger A,canada dry,2
BVC Bottle Pepsi Diet 20z,pepsi,1
Can Mountain Dew 12oz,pepsi,1
Pepsi Zero Can,pepsi,1
Pepsi 2 for 2.79,pepsi,1
Bev 20 oz Pepsi,pepsi,1
Coca Cola Zero,coke,0
SM COKE,coke,0
Bottle Coke Vanilla 20oz,coke,0
Bev -  Pepsi 20oz Bottled Soda,pepsi,1
Mtn Dew Spark Zero 20oz,pepsi,1
Coke with Coffee Vanilla,coke,0
Mountain Dew Zero Sugar 20oz,pepsi,1
BVC - Can Coke Diet 12oz,coke,0
Pepsi 20z 2-$2.50,pepsi,1
Coca cola Zero 12oz1,coke,0
Can Diet Coke 12oz,coke,0
Bottle Mountain Dew 20oz Bottle,pepsi,1
"Mountain Dew Twist Lemon Lime, 20oz",pepsi,1
Pepsi Zero Sugar Wild Ch,pepsi,1
Coke Can 16oz,coke,0
Mexican Coke,coke,0
Soda Pepsi Wild Cherry 20oz Bott,pepsi,1
RT-Soda Pepsi 20oz Bottle,pepsi,1
Pepsi - Bottled (20 oz),pepsi,1
Coke Products 24oz.,coke,0
Can Coca-Cola Mini- Can ,coke,0
Diet Pepsi Silver Label  20 oz,pepsi,1
Canada Dry Ginger,canada dry,2
Mtn Dew Rise Orange Bree,pepsi,1
Can Mountain Dew 12oz,pepsi,1
Diet Pepsi 20oz,pepsi,1
Diet Mtn Dew,pepsi,1
Mountain Dew Major Melon,pepsi,1
RT-Soda Diet Coke 20oz Bottle,coke,0
Bottle Pepsi Diet 20oz,pepsi,1
BVC -Vanilla Coke,coke,0
Bottle Coca-Cola Coke 12,coke,0
BVC - Coke Products Buy 1 Get 1 for $1,coke,0
Pepsi Bottle Soda / Drin,pepsi,1
BVC - Pepsi 20oz,pepsi,1
BVC-Bottle Pepsi Wild Cherry 20oz,pepsi,1
BVC - Mountain Dew,pepsi,1
BVC - Bottle Mountain Dew Code R,pepsi,1
Coke 20oz,coke,0
Can Pepsi 12oz,pepsi,1
Coke Old Fashioned,coke,0
BVC - Bottle Coke Cherry Vanilla 20oz,coke,0
Diet Coke 20oz,coke,0
BVC Coke Diet,coke,0
Bottle Soda 20oz Diet Pepsi,pepsi,1
2 for $2.22 Pepsi Products,pepsi,1
Bottle Pepsi Zero 20oz,pepsi,1
BVC - Can Coke Diet 12oz,coke,0
Bottle Mountain Dew Diet 20oz Bo,pepsi,1
BVC - Coke_Cherry (20 oz Bottle),coke,0
BVC - Coke Zero_Cherry (20 oz Bottle),coke,0
Bottled Mountain Dew,pepsi,1
"BEV - Coca Cola Products, 20oz",coke,0
SAMC Bottled Coke,coke,0
Coke btl Zero,coke,0
Dt Cherry Pepsi 20oz,pepsi,1
BVC - Can Pepsi 12oz,pepsi,1
Soda Diet Coke 20 OZ Bot,coke,0
BVC - Bottle Pepsi 2 Bottles for $2.79,pepsi,1
BVC- Mtn Dew Ice 20oz,pepsi,1
Coke Zero 20oz ,coke,0
BVC - diet pepsi.,pepsi,1
Soda Coke Zero Sugar 7.5,coke,0
Mountain Dew Baja Blast Zero 20oz,pepsi,1
Coke 20oz,coke,0
LG COKE,coke,0
BVC - Bottle Mountain Dew 1 Liter,pepsi,1
Diet Coke Can 16oz,coke,0
Bev - Pepsi,pepsi,1
Pepsi Zero,pepsi,1
BVC - Diet Pepsi 20oz,pepsi,1
12 oz Coke cs,coke,0
Bottle Pepsi 20oz Bottle,pepsi,1
Coke-Cola with Coffee Caramel,coke,0
Coca Cola Orange Vanilla,coke,0
12oz Diet Coke Cs,coke,0
MTN DEW RISE 16 oz.,pepsi,1
diet pepsi,pepsi,1
Mountain Dew Diet 20oz,pepsi,1
BVC - Diet Pepsi,pepsi,1
Cherry Pepsi 12oz Can,pepsi,1
Bottle Pepsi 20 oz,pepsi,1
Coke,coke,0
Coca Cola Starlight 20oz,coke,0
BVC - Bottle Coke Zero  20oz(1),coke,0
Coke 20oz sodas,coke,0
Coca Cola Starlight Zero Sugar 20oz,coke,0
Bottle Coke Cherry 20oz,coke,0
20oz Diet Pepsi,pepsi,1
Mtn Dew Diet 20oz,pepsi,1
Bottle Pepsi Diet 12oz,pepsi,1
PEPSI Wild Cherry,pepsi,1
Pepsi Bottle,pepsi,1
Diet Pepsi Can,pepsi,1
BTL Coke,coke,0
BVC - Can Coke Classic 1,coke,0
BVC - Bottle Coke Classic 12oz,coke,0
BVC - Bottle Pepsi 20oz,pepsi,1
Bev - Coke - 20 oz,coke,0
Soda Pepsi Diet 20oz Bottle,pepsi,1
Coca Cola Zero Sugar,coke,0
Mountain Dew Zero,pepsi,1
Cafe - Cold Bev -  Pepsi,pepsi,1
BVC Bottle Coke Diet 20oz,coke,0
BVC Coke 20oz,coke,0
20 Pepsi/Coke,coke,0
BVC- Soda 20 oz Canada Dry Ginger Ale Diet,canada dry,2
Bottle Aluminum Coke 8.5oz,coke,0
Pepsi Add $1,pepsi,1
2 Cokes for $2.79,coke,0
Mountain Dew 20oz,pepsi,1
Coke 20 oz,coke,0
Diet Pepsi 20 OZ,pepsi,1
2 coke for 2.79,coke,0
Coke bottle,coke,0
Pepsi/Coke 2 for 2.79,coke,0
BVC- Soda 20 oz Coke Vanilla,coke,0
Bottle Pepsi,pepsi,1
RT-Soda Diet pepsi 20oz,pepsi,1
Diet Pepsi 20oz,pepsi,1
Pepsi Zero,pepsi,1
BVC - Bottle Mountain Dew Frost Bite 20oz,pepsi,1
BVC - Coke Freestyle 20-24oz,coke,0
BVC - Coca cola 20 oz.,coke,0
BVC- Soda 20 oz Mountain Dew Code Red,pepsi,1
Bottled Pepsi,pepsi,1
Soda Coke Cocoa Cola Che,coke,0
Soda Coke 20 OZ Bottle,coke,0
BVC - Bottle Diet Pepsi 20 oz,pepsi,1
Bottle Mountain Dew Zero Sugar,pepsi,1
Can Mountain Dew Diet 12oz,pepsi,1
diet coke,coke,0
Bottled Diet Coke 20oz,coke,0
Coke Cherry Zero,coke,0
Coca Cola Zero 20oz. Bottle,coke,0
Regular Coke 20 oz,coke,0
Pepsi Mango Zero Sugar,pepsi,1
Bottled Soda Coke,coke,0
BVC - Pepsi     12oz Can,pepsi,1
BVC-Bottle PepsiZero Sugar Wild Cherry 20oz,pepsi,1
Can Coke Zero Cherry 12o,coke,0
BVC - Bottle Pepsi Wild Cherry 2,pepsi,1
BVC pepsi diet,pepsi,1
Coca Cola Cherry,coke,0
BVC - Can Diet Coke 12oz,coke,0
Pepsi Products,pepsi,1
Coke Zero 12oz,coke,0
1.79 Coke Combo,coke,0
Can Mountain Dew Diet 12,pepsi,1
Bottle Pepsi Throwback 2,pepsi,1
Can Mountain Dew Diet 12oz,pepsi,1
24oz Coke Freestyle Beve,coke,0
Cherry Pepsi 20oz,pepsi,1
AR Coke Bottle 2/2.79,coke,0
BVC - TWO BOTTLED COKES FOR 2.79,coke,0
Coke Zero 12oz,coke,0
Coca Cola Energy Coke Ch,coke,0
BVC- Bottle Cherry Coke Vanilla,coke,0
Coke can 12fl oz,coke,0
Diet Coke 12 oz Can,coke,0
BVC Bottle Coke Zero 20z,coke,0
Coke Zero 12 oz Can,coke,0
Coke Classic 20oz,coke,0
Coca Cola 20 oz,coke,0
BVC - Bottle Pepsi Max 20oz,pepsi,1
BVC - Bottle Diet Pepsi,pepsi,1
Pepsi,pepsi,1
BVC - Coke Diet,coke,0
Pepsi Mango 20oz,pepsi,1
COCA COLA - COKE ZERO - 20OZ,coke,0
PEPSI ONLY 2  for 2.22  bottle beverages 20oz,pepsi,1
RT-Soda Mountain Dew Diet 20oz Bottle,pepsi,1
BVC - Bottle Pepsi Diet Wild Cherry 20oz,pepsi,1
BVC - Pepsi 20oz Diet(1),pepsi,1
BVC - Coke Zero Cherry,coke,0
Bottle Mountain Dew Baja Blast 2,pepsi,1
Pepsi Mango 20 Oz,pepsi,1
Coke with Coffee Dark Bl,coke,0
CONC - NA BEV - Bottled Soda 20oz - Pepsi,pepsi,1
Bottle Coke Cherry Vanilla 20oz,coke,0
New York Pepsi Zero 12 oz,pepsi,1
Pepsi Vanilla 20oz,pepsi,1
Coca Cola Sprite Tropical Mix 20oz,coke,0
Can Pepsi 12oz,pepsi,1
BVC Bottle Coke Cherry 20z,coke,0
Pepsi Zero Sugar 20oz,pepsi,1
Diet Pepsi 20 oz,pepsi,1
BVC Coke Diet,coke,0
M NSM | Pepsi | Diet BTL 20 F,pepsi,1
Coke ZERO,coke,0
Bottle Coke Diet Caffeine Free 2,coke,0
Coke 12 oz Can,coke,0
CONC - NA BEV - Bottled Soda 20oz - Diet Pepsi,pepsi,1
Soda Coke Bottle 20 oz,coke,0
Pepsi Nitro Draft Cola 13.65 fl oz,pepsi,1
Coke Coffee Dark Blend 12oz,coke,0
BVC - Can Diet Coke 12oz,coke,0
BVC Coke 20oz Diet,coke,0
Pepsi/Coke,coke,0
BVC - Bottle Mountain Dew Zero Sugar 20oz(1),pepsi,1
Bottle Coca-Cola Sprite ,coke,0
Can Canada Dry 12oz,canada dry,2
BVC - Cherry Pepsi 20oz,pepsi,1
"Coke, 20 oz Bottle",coke,0
2 for 2.50 Coke,coke,0
Coca-Cola 20oz,coke,0
Mountain Dew Diet Code Red 20oz,pepsi,1
BVC - Bottle Mountain Dew Zero 20oz,pepsi,1
Mtn Dew Zero 20 oz,pepsi,1
Water Canada Dry Sparkli,canada dry,2
BVR - Coke Cherry 20oz,coke,0
Coke Classic 20oz,coke,0
BVC - PEPSI 2 FOR 2.22,pepsi,1
Cherry Coke,coke,0
BVC Coke Zero,coke,0
Coke 20 fl oz Bottle,coke,0
Bev 20 oz Cherry Coke,coke,0
32 oz. Coke Fountain Drink,coke,0
BVC - Diet Pepsi,pepsi,1
Bottle Coke Zero Cherry Vanilla 20oz,coke,0
Coca Cola,coke,0
Diet Coke Btl,coke,0
BVC - Bottle Mountain Dew LiveWire 20oz,pepsi,1
Soda Diet pepsi 20oz,pepsi,1
Reg Coca Cola Dreamworld,coke,0
Diet Coke - 20oz,coke,0
BVC-Bottle Coke Diet 20oz,coke,0
Can Coke 12oz,coke,0
BVC - Can Mountain Dew Diet 12oz,pepsi,1
Bottled Diet Pepsi,pepsi,1
BVC- Soda 20 oz Pepsi Cherry,pepsi,1
BVC - Diet Cherry Pepsi,pepsi,1
Coca-Cola Zero 20oz,coke,0
Bottle Pepsi Throwback 20oz,pepsi,1
Bottle Canada Dry Ginger Ale Diet 20oz,canada dry,2
coke,coke,0
Pepsi 12 oz Can,pepsi,1
Can Pepsi 12oz,pepsi,1
Soda Pepsi Watermelon Cr,pepsi,1
BVC Bottle Coke Zero 20oz,coke,0
Pepsi Diet 20oz,pepsi,1
Coca cola Zero Orange Vanilla 20oz,coke,0
BVC - Coke Products 2 for $2,coke,0
Bottle Canada Dry Ginger Ale Die,canada dry,2
BVC Bottle Coke Cherry Zero 20z,coke,0
BVC - Bottle Mountain Dew Baja Blast 20oz,pepsi,1
BVC - Bottle Pepsi Diet classic20oz,pepsi,1
BVC - Pepsi Cherry,pepsi,1
Pepsi 20 oz,pepsi,1
BVC - Bottle Pepsi Diet Wild Cherry 20oz.,pepsi,1
Canada Dry,canada dry,2
2 Pepsi Bottles 20 0z,pepsi,1
Pepsi Wild Cherry,pepsi,1
Coke Zero - 20oz,coke,0
Bev 20 oz Vanilla Coke,coke,0
Coke Coffee Vanilla 12oz,coke,0
Coke Starlight 20oz,coke,0
Diet Pepsi 20oz Bottle,pepsi,1
M NSM  | Mountain Dew | Original BTL 20 F,pepsi,1
Bottle Mountain Dew Throwback 20,pepsi,1
BVC - Mountain Dew Baja Blast,pepsi,1
Mtn Dew Zero Sugar,pepsi,1
BVC Coke 20ox,coke,0
SODA COKE ZERO CHERRY,coke,0
Pepsi Wild Cherry Can,pepsi,1
Pepsi Nitro Vanilla Draft 13.65 fl oz,pepsi,1
Pepsi Zero Can,pepsi,1
BVC- Canada Dry Ginger Ale Diet,canada dry,2
Bev - Diet Coke,coke,0
coca cola 20 oz,coke,0
BVC - Pepsi Can 12 oz.,pepsi,1
"Pepsi, 20 oz Bottle",pepsi,1
20 oz Coke,coke,0
Coca Cola 7.5oz,coke,0
Mountain Dew Rise,pepsi,1
coke zero,coke,0
BVC Mountain Dew 20oz,pepsi,1
COKE bottle,coke,0
Pepsi Zero Sugar,pepsi,1
Diet Coke 20oz,coke,0
Diet Coke can 12fl oz,coke,0
